2022-01-06 15,ZENAYBR,Thailand,"['Omicron', 'โควิด19']",RT @FDY137,//t.co/8mxU686LJc
2022-01-06 15,tarinidixit,couch ,"['Covid_19', 'Omicron', 'mumbai']","Mumbai reports 20,181 new Covid cases, highest since pandemic started #Covid_19 #Omicron #mumbai htt",//t.co/8mxU686LJc
2022-01-06 15,Azukala,,[],RT @sputnikvaccine,//t.co/8mxU686LJc
2022-01-06 15,dwcubas,"Berlín, Alemania","['varianteihu', 'Francia', 'B16402']",RT @dw_espanol,//t.co/8mxU686LJc
2022-01-06 15,indiatvnews,India,"['SupremeCourt', 'India', 'Covid', 'Omicron']",#SupremeCourt to hear all matters via virtual mode from Friday as #India witnesses third #Covid wave,//t.co/8mxU686LJc
2022-01-06 15,MMMM70834833,,"['Omicron', 'โควิด19']",RT @FDY137,//t.co/8mxU686LJc
2022-01-06 15,Gowtham27294135,"Tamil Nadu, India","['AK', 'Valimai']",RT @Akshara_Reddy_,//t.co/8mxU686LJc
2022-01-06 15,IsraelinNewYork,New York,['Israeli'],A critical exchange was held yesterday b/w senior #Israeli medical experts &amp; @MountSinaiNYC to s,//t.co/8mxU686LJc
2022-01-06 15,t_westerns,Lancashire UK,['Omicron'],RT @vonderleyen,//t.co/8mxU686LJc
2022-01-06 15,StitchPomAndMom,Floriduh 🍊🐊 🌴🇺🇸,"['BorisJohnson', 'Omicron']",RT @PablodelaMac,//t.co/8mxU686LJc
2022-01-06 15,VaishaliJan98,"Patiala, India",[],RT @puneet_banga,//t.co/8mxU686LJc
2022-01-06 15,Asl45115087,,[],RT @AK_4806,//t.co/8mxU686LJc
2022-01-06 15,FreddyCruger200,India,"['Omicron', 'Valimai']",RT @dharmachandru,//t.co/8mxU686LJc
2022-01-06 15,BharathJadhav75,"Bengaluru, India","['MaheshBabu', 'Corona', 'Omicron']",RT @TFIMovieBuzz,//t.co/8mxU686LJc
2022-01-06 15,MohiniNagarsen1,"Goa, India","['coronavirus', 'goa', 'COVID19India', 'Covid_19', 'Omicron']",Omg!!!! What's this behavior #coronavirus ???? Again????,//t.co/8mxU686LJc
2022-01-06 15,ZENAYBR,Thailand,"['Omicron', 'โควิด19']",RT @FDY137,//t.co/8mxU686LJc
2022-01-06 15,tarinidixit,couch ,"['Covid_19', 'Omicron', 'mumbai']","Mumbai reports 20,181 new Covid cases, highest since pandemic started #Covid_19 #Omicron #mumbai htt",//t.co/8mxU686LJc
